team_id,win_pct
ATL,0.606060606060606
BOS,0.590909090909091
CHI,0.757575757575758
CHN,0.106060606060606
CLE,0.318181818181818
DAL,0.545454545454545
DEN,0.575757575757576
DET,0.378787878787879
GSW,0.348484848484849
HOU,0.515151515151515
IND,0.636363636363636
LAC,0.606060606060606
LAL,0.621212121212121
MEM,0.621212121212121
MIA,0.696969696969697
MIL,0.46969696969697
MIN,0.393939393939394
NJN,0.333333333333333
NOH,0.318181818181818
NYK,0.545454545454545
OKC,0.712121212121212
ORL,0.560606060606061
PHI,0.53030303030303
PHX,0.5
POR,0.424242424242424
SAC,0.333333333333333
SAS,0.757575757575758
TOR,0.348484848484849
UTA,0.545454545454545
WAS,0.303030303030303
